errorRate,startTime,FlowID,SourceAddress,DestinatioAddress,TxPackets,RxPackets,Throughput,Latency,,,,,,,,,,,,,,,,,
0,15,1,10.1.1.1,10.1.2.2,18767,18668,9.30186,42.1409,,For Rows 2-11,,errorRate = 0,,,,,,,,,,,,,
0,25,1,10.1.1.1,10.1.2.2,39959,39856,9.40847,42.8144,,"Throughput - Mean: 9.447954000000001, Standard Deviation: 0.056588991705297714, Variance: 0.0032023139822222537",,,,,,,,,,,,,,,
0,35,1,10.1.1.1,10.1.2.2,61151,61044,9.44155,43.1136,,"Latency - Mean: 43.12974, Standard Deviation: 0.38767427679546707, Variance: 0.1502913448888884",,,,,,,,,,,,,,,
0,45,1,10.1.1.1,10.1.2.2,82341,82231,9.45767,43.2233,,"Throughput - Width of Confidence Interval: 0.06560668723154299, Confidence Interval: (9.382347312768458, 9.513560687231545)",,,,,,,,,,,,,,Confidence Intervals,
0,55,1,10.1.1.1,10.1.2.2,103530,103419,9.46721,43.2437,,"Latency - Width of Confidence Interval: 0.44945181490225716, Confidence Interval: (42.680288185097744, 43.57919181490225)",,,,,,,,,,,,,P/ErrorRate,Throughput,Latency
0,65,1,10.1.1.1,10.1.2.2,124722,124607,9.47352,43.2892,,,,,,,,,,,,,,,0,"(9.382347312768458, 9.513560687231545)","(42.680288185097744, 43.57919181490225)"
0,75,1,10.1.1.1,10.1.2.2,145913,145795,9.47799,43.3471,,,,,,,,,,,,,,,0.01,"(0.2944768974637062, 0.49127950253629393)","(21.281284373494717, 21.77231562650528)"
0,85,1,10.1.1.1,10.1.2.2,167104,166982,9.48134,43.3737,,,,,,,,,,,,,,,0.02,"(0.24803225682492372, 0.4219819431750763)","(21.64402508254065, 22.06973491745935)"
0,95,1,10.1.1.1,10.1.2.2,188293,188170,9.48393,43.3672,,,,,,,,,,,,,,,0.03,"(0.2899947236511129, 0.5443766763488871)","(22.34611981748025, 25.885140182519756)"
0,105,1,10.1.1.1,10.1.2.2,209485,209358,9.486,43.3843,,,,,,,,,,,,,,,0.04,"(0.1991930737300535, 0.3472175262699466)","(21.403410395832662, 22.54290960416734)"
0.01,15,1,10.1.1.1,10.1.2.2,1211,1188,0.594287,22.0121,,,,,,,,,,,,,,,0.05,"(0.28026784181201425, 0.7020317581879857)","(23.125296926943953, 24.349143073056048)"
0.01,25,1,10.1.1.1,10.1.2.2,2129,2084,0.49236,21.7283,,For Rows 12-21,,errorRate = 0.01,,,,,,,,,,,0.06,"(0.609999594782764, 0.8843570052172361)","(30.897969287426292, 39.370010712573716)"
0.01,35,1,10.1.1.1,10.1.2.2,2624,2570,0.397537,21.6224,,"Throughput - Mean: 0.39287820000000007, Standard Deviation: 0.0848759589607747, Variance: 0.007203928409511112",,,,,,,,,,,,,0.07,"(0.6990439444739022, 0.820265655526098)","(31.148170241430773, 43.57252975856922)"
0.01,45,1,10.1.1.1,10.1.2.2,3221,3152,0.362397,21.5396,,"Latency - Mean: 21.526799999999998, Standard Deviation: 0.21176929270631595, Variance: 0.04484623333333332",,,,,,,,,,,,,0.08,"(0.3760738404636902, 0.6494351595363098)","(30.731101979287622, 43.815358020712374)"
0.01,55,1,10.1.1.1,10.1.2.2,3888,3807,0.34863,21.4777,,"Throughput - Width of Confidence Interval: 0.09840130253629385, Confidence Interval: (0.2944768974637062, 0.49127950253629393)",,,,,,,,,,,,,0.09,"(0.5247403831152129, 0.6642304168847872)","(29.640455708946526, 40.624604291053465)"
0.01,65,1,10.1.1.1,10.1.2.2,4892,4797,0.364683,21.425,,"Latency - Width of Confidence Interval: 0.24551562650528153, Confidence Interval: (21.281284373494717, 21.77231562650528)",,,,,,,,,,,,,0.1,"(0.2662937266605278, 0.40964967333947216)","(29.4404093744757, 41.5690306255243)"
0.01,75,1,10.1.1.1,10.1.2.2,5605,5493,0.357178,21.3943,,,,,,,,,,,,,,,0.2,"(0.0073340992528758, 0.0242986127471242)","(21.20036913751992, 21.79041086248008)"
0.01,85,1,10.1.1.1,10.1.2.2,6213,6087,0.34566,21.3727,,,,,,,,,,,,,,,,,
0.01,95,1,10.1.1.1,10.1.2.2,6755,6618,0.333603,21.3564,,,,,,,,,,,,,,,,,
0.01,105,1,10.1.1.1,10.1.2.2,7485,7338,0.332447,21.3395,,,,,,,,,,,,,,,,,
0.02,15,1,10.1.1.1,10.1.2.2,1119,1079,0.538382,22.0898,,For Rows 22-31,,errorRate = 0.02,,,,,,,,,,,,,
0.02,25,1,10.1.1.1,10.1.2.2,1523,1466,0.346397,21.8366,,"Throughput - Mean: 0.3350071, Standard Deviation: 0.07502007625584857, Variance: 0.005628011841433334",,,,,,,,,,,,,,,
0.02,35,1,10.1.1.1,10.1.2.2,2179,2097,0.324208,21.6399,,"Latency - Mean: 21.85688, Standard Deviation: 0.183597826179336, Variance: 0.033708161777777676",,,,,,,,,,,,,,,
0.02,45,1,10.1.1.1,10.1.2.2,2628,2527,0.290547,21.5587,,"Throughput - Width of Confidence Interval: 0.08697484317507628, Confidence Interval: (0.24803225682492372, 0.4219819431750763)",,,,,,,,,,,,,,,
0.02,55,1,10.1.1.1,10.1.2.2,3912,3760,0.344112,22.1258,,"Latency - Width of Confidence Interval: 0.21285491745934837, Confidence Interval: (21.64402508254065, 22.06973491745935)",,,,,,,,,,,,,,,
0.02,65,1,10.1.1.1,10.1.2.2,4511,4337,0.329733,21.9959,,,,,,,,,,,,,,,,,
0.02,75,1,10.1.1.1,10.1.2.2,4930,4741,0.308179,21.9236,,,,,,,,,,,,,,,,,
0.02,85,1,10.1.1.1,10.1.2.2,5381,5169,0.293467,21.8592,,,,,,,,,,,,,,,,,
0.02,95,1,10.1.1.1,10.1.2.2,5915,5684,0.286478,21.7961,,,,,,,,,,,,,,,,,
0.02,105,1,10.1.1.1,10.1.2.2,6631,6370,0.288568,21.7432,,,,,,,,,,,,,,,,,
0.03,15,1,10.1.1.1,10.1.2.2,1520,1425,0.7088,27.5274,,For Rows 32-41,,errorRate = 0.03,,,,,,,,,,,,,
0.03,25,1,10.1.1.1,10.1.2.2,2103,1962,0.46294,25.8368,,"Throughput - Mean: 0.4171857, Standard Deviation: 0.10970846737305394, Variance: 0.012035947813344442",,,,,,,,,,,,,,,
0.03,35,1,10.1.1.1,10.1.2.2,2678,2516,0.388806,24.8074,,"Latency - Mean: 24.115630000000003, Standard Deviation: 1.5262894876500694, Variance: 2.3295596001111116",,,,,,,,,,,,,,,
0.03,45,1,10.1.1.1,10.1.2.2,3673,3457,0.402362,24.0214,,"Throughput - Width of Confidence Interval: 0.12719097634888707, Confidence Interval: (0.2899947236511129, 0.5443766763488871)",,,,,,,,,,,,,,,
0.03,55,1,10.1.1.1,10.1.2.2,4898,4611,0.421764,23.5855,,"Latency - Width of Confidence Interval: 1.7695101825197523, Confidence Interval: (22.34611981748025, 25.885140182519756)",,,,,,,,,,,,,,,
0.03,65,1,10.1.1.1,10.1.2.2,5370,5058,0.392105,23.3705,,,,,,,,,,,,,,,,,
0.03,75,1,10.1.1.1,10.1.2.2,5834,5494,0.360747,23.2008,,,,,,,,,,,,,,,,,
0.03,85,1,10.1.1.1,10.1.2.2,6786,6387,0.362531,23.0501,,,,,,,,,,,,,,,,,
0.03,95,1,10.1.1.1,10.1.2.2,7242,6825,0.343937,22.9283,,,,,,,,,,,,,,,,,
0.03,105,1,10.1.1.1,10.1.2.2,7681,7237,0.327865,22.8281,,,,,,,,,,,,,,,,,
0.04,15,1,10.1.1.1,10.1.2.2,952,868,0.432772,21.8782,,For Rows 42-51,,errorRate = 0.04,,,,,,,,,,,,,
0.04,25,1,10.1.1.1,10.1.2.2,1236,1130,0.266405,21.7097,,"Throughput - Mean: 0.27320530000000004, Standard Deviation: 0.06383918218121741, Variance: 0.004075441181566667",,,,,,,,,,,,,,,
0.04,35,1,10.1.1.1,10.1.2.2,1669,1525,0.235695,21.5771,,"Latency - Mean: 21.97316, Standard Deviation: 0.4914370315716953, Variance: 0.24151035599999948",,,,,,,,,,,,,,,
0.04,45,1,10.1.1.1,10.1.2.2,2229,2042,0.234754,21.5498,,"Throughput - Width of Confidence Interval: 0.07401222626994655, Confidence Interval: (0.1991930737300535, 0.3472175262699466)",,,,,,,,,,,,,,,
0.04,55,1,10.1.1.1,10.1.2.2,2542,2333,0.217633,21.4984,,"Latency - Width of Confidence Interval: 0.5697496041673378, Confidence Interval: (21.403410395832662, 22.54290960416734)",,,,,,,,,,,,,,,
0.04,65,1,10.1.1.1,10.1.2.2,3000,2757,0.209532,21.451,,,,,,,,,,,,,,,,,
0.04,75,1,10.1.1.1,10.1.2.2,4541,4181,0.271619,22.2944,,,,,,,,,,,,,,,,,
0.04,85,1,10.1.1.1,10.1.2.2,5769,5322,0.302043,22.6756,,,,,,,,,,,,,,,,,
0.04,95,1,10.1.1.1,10.1.2.2,6167,5693,0.290639,22.5796,,,,,,,,,,,,,,,,,
