errorRate,startTime,FlowID,SourceAddress,DestinatioAddress,TxPackets,RxPackets,Throughput,Latency
0.2,15,1,10.1.1.1,10.1.2.2,35,18,0.0227862,21.5936
0.2,25,1,10.1.1.1,10.1.2.2,58,28,0.00640091,21.4459
0.2,35,1,10.1.1.1,10.1.2.2,79,40,0.00740845,21.3307
0.2,45,1,10.1.1.1,10.1.2.2,141,85,0.0100639,21.1982
0.2,55,1,10.1.1.1,10.1.2.2,198,122,0.0115644,21.183
0.2,65,1,10.1.1.1,10.1.2.2,237,146,0.0111156,21.2116
0.2,75,1,10.1.1.1,10.1.2.2,427,264,0.0170707,21.623
0.2,85,1,10.1.1.1,10.1.2.2,626,399,0.0230109,21.7566
0.2,95,1,10.1.1.1,10.1.2.2,741,471,0.0237132,21.7988
0.2,105,1,10.1.1.1,10.1.2.2,841,544,0.0250293,21.8125
