P/ErrorRate,Throughput,Latency
0,"(9.382347312768458, 9.513560687231545)","(42.680288185097744, 43.57919181490225)"
0.01,"(0.2944768974637062, 0.49127950253629393)","(21.281284373494717, 21.77231562650528)"
0.02,"(0.24803225682492372, 0.4219819431750763)","(21.64402508254065, 22.06973491745935)"
0.03,"(0.2899947236511129, 0.5443766763488871)","(22.34611981748025, 25.885140182519756)"
0.04,"(0.1991930737300535, 0.3472175262699466)","(21.403410395832662, 22.54290960416734)"
0.05,"(0.28026784181201425, 0.7020317581879857)","(23.125296926943953, 24.349143073056048)"
0.06,"(0.609999594782764, 0.8843570052172361)","(30.897969287426292, 39.370010712573716)"
0.07,"(0.6990439444739022, 0.820265655526098)","(31.148170241430773, 43.57252975856922)"
0.08,"(0.3760738404636902, 0.6494351595363098)","(30.731101979287622, 43.815358020712374)"
0.09,"(0.5247403831152129, 0.6642304168847872)","(29.640455708946526, 40.624604291053465)"
0.1,"(0.2662937266605278, 0.40964967333947216)","(29.4404093744757, 41.5690306255243)"
0.2,"(0.0073340992528758, 0.0242986127471242)","(21.20036913751992, 21.79041086248008)"
